?cls	?xref
<http://purl.obolibrary.org/obo/WBbt_0004017>	"CL:0000000"
<http://purl.obolibrary.org/obo/WBbt_0004143>	"WB:rynl"
<http://purl.obolibrary.org/obo/WBbt_0004170>	"WB:rynl"
<http://purl.obolibrary.org/obo/WBbt_0004136>	"WB:rynl"
<http://purl.obolibrary.org/obo/WBbt_0004133>	"WB:rynl"
<http://purl.obolibrary.org/obo/WBbt_0004202>	"WB:rynl"
<http://purl.obolibrary.org/obo/WBbt_0004162>	"WB:rynl"
<http://purl.obolibrary.org/obo/WBbt_0005447>	"WB:rynl"
<http://purl.obolibrary.org/obo/WBbt_0000101>	"WB:RYNL"
<http://purl.obolibrary.org/obo/WBbt_0005732>	"WB:pws"
<http://purl.obolibrary.org/obo/WBbt_0005732>	"CARO:0000040"
<http://purl.obolibrary.org/obo/WBbt_0004182>	"WB:rynl"
<http://purl.obolibrary.org/obo/WBbt_0005746>	"ISBN:0-14-051288-8"
<http://purl.obolibrary.org/obo/WBbt_0005772>	"WBPaper:00038216"
<http://purl.obolibrary.org/obo/WBbt_0005471>	"WB:rynl"
<http://purl.obolibrary.org/obo/WBbt_0004212>	"WB:rynl"
<http://purl.obolibrary.org/obo/WBbt_0004152>	"WB:rynl"
<http://purl.obolibrary.org/obo/WBbt_0005811>	"WBPaper:00038216"
<http://purl.obolibrary.org/obo/WBbt_0005762>	"WBPaper:00038216"
<http://purl.obolibrary.org/obo/WBbt_0004203>	"WB:rynl"
<http://purl.obolibrary.org/obo/WBbt_0003681>	"WBPaper:00038216"
<http://purl.obolibrary.org/obo/WBbt_0005105>	"WB:rynl"
<http://purl.obolibrary.org/obo/WBbt_0006747>	"WB:rynl"
<http://purl.obolibrary.org/obo/WBbt_0005298>	"WB:rynl"
<http://purl.obolibrary.org/obo/WBbt_0004204>	"WB:rynl"
<http://purl.obolibrary.org/obo/WBbt_0004158>	"WB:rynl"
<http://purl.obolibrary.org/obo/WBbt_0005830>	"WB:rynl"
<http://purl.obolibrary.org/obo/WBbt_0004190>	"WB:rynl"
<http://purl.obolibrary.org/obo/WBbt_0004134>	"WB:rynl"
<http://purl.obolibrary.org/obo/WBbt_0005755>	"WBPaper:00038216"
<http://purl.obolibrary.org/obo/WBbt_0004137>	"WB:rynl"
<http://purl.obolibrary.org/obo/WBbt_0005375>	"WB:rynl"
<http://purl.obolibrary.org/obo/WBbt_0005658>	"WB:rynl"
<http://purl.obolibrary.org/obo/WBbt_0004206>	"WB:rynl"
<http://purl.obolibrary.org/obo/WBbt_0004148>	"WB:rynl"
<http://purl.obolibrary.org/obo/WBbt_0004135>	"WB:rynl"
<http://purl.obolibrary.org/obo/WBbt_0004168>	"WB:rynl"
<http://purl.obolibrary.org/obo/WBbt_0004214>	"WB:rynl"
<http://purl.obolibrary.org/obo/WBbt_0005646>	"WB:rynl"
<http://purl.obolibrary.org/obo/WBbt_0005364>	"WB:rynl"
<http://purl.obolibrary.org/obo/WBbt_0004141>	"WB:rynl"
<http://purl.obolibrary.org/obo/WBbt_0005733>	"WB:pws"
<http://purl.obolibrary.org/obo/WBbt_0005733>	"CARO:0000066"
<http://purl.obolibrary.org/obo/WBbt_0004183>	"WB:rynl"
<http://purl.obolibrary.org/obo/WBbt_0004154>	"WB:rynl"
<http://purl.obolibrary.org/obo/WBbt_0005735>	"WB:rynl"
<http://purl.obolibrary.org/obo/WBbt_0005832>	"WB:rynl"
<http://purl.obolibrary.org/obo/WBbt_0005832>	"WB:cgc3760"
<http://purl.obolibrary.org/obo/WBbt_0004192>	"WB:rynl"
<http://purl.obolibrary.org/obo/WBbt_0005729>	"WB:rynl"
<http://purl.obolibrary.org/obo/WBbt_0005729>	"ISBN:0-14-051288-8"
<http://purl.obolibrary.org/obo/WBbt_0005729>	"CARO:0000043"
<http://purl.obolibrary.org/obo/WBbt_0004144>	"WB:rynl"
<http://purl.obolibrary.org/obo/WBbt_0004198>	"WB:rynl"
<http://purl.obolibrary.org/obo/WBbt_0005657>	"WB:rynl"
<http://purl.obolibrary.org/obo/WBbt_0005648>	"WB:rynl"
<http://purl.obolibrary.org/obo/WBbt_0005745>	"WBPaper:00038216"
<http://purl.obolibrary.org/obo/WBbt_0007849>	"CARO:0000029"
<http://purl.obolibrary.org/obo/WBbt_0004210>	"WB:rynl"
<http://purl.obolibrary.org/obo/WBbt_0005337>	"WBPaper:00038216"
<http://purl.obolibrary.org/obo/WBbt_0004140>	"WB:rynl"
<http://purl.obolibrary.org/obo/WBbt_0004156>	"WB:rynl"
<http://purl.obolibrary.org/obo/WBbt_0008628>	"CARO:0000014"
<http://purl.obolibrary.org/obo/WBbt_0004138>	"WB:rynl"
<http://purl.obolibrary.org/obo/WBbt_0004150>	"WB:rynl"
<http://purl.obolibrary.org/obo/WBbt_0006752>	"WB:rynl"
<http://purl.obolibrary.org/obo/WBbt_0005465>	"WB:rynl"
<http://purl.obolibrary.org/obo/WBbt_0004194>	"WB:rynl"
<http://purl.obolibrary.org/obo/WBbt_0004208>	"WB:rynl"
<http://purl.obolibrary.org/obo/WBbt_0005659>	"ISBN:0-87969-307-X"
<http://purl.obolibrary.org/obo/WBbt_0004176>	"WB:rynl"
<http://purl.obolibrary.org/obo/WBbt_0004139>	"WB:rynl"
<http://purl.obolibrary.org/obo/WBbt_0005778>	"WBPaper:00038216"
<http://purl.obolibrary.org/obo/WBbt_0004163>	"WB:rynl"
<http://purl.obolibrary.org/obo/WBbt_0005734>	"WB:pws"
<http://purl.obolibrary.org/obo/WBbt_0004142>	"WB:rynl"
<http://purl.obolibrary.org/obo/WBbt_0007850>	"CARO:0000027"
<http://purl.obolibrary.org/obo/WBbt_0004164>	"WB:rynl"
<http://purl.obolibrary.org/obo/WBbt_0004196>	"WB:rynl"
<http://purl.obolibrary.org/obo/WBbt_0005767>	"WBPaper:00038216"
<http://purl.obolibrary.org/obo/WBbt_0004166>	"WB:rynl"
<http://purl.obolibrary.org/obo/WBbt_0004146>	"WB:rynl"
<http://purl.obolibrary.org/obo/WBbt_0004188>	"WB:rynl"
<http://purl.obolibrary.org/obo/WBbt_0005730>	"WB:rynl"
<http://purl.obolibrary.org/obo/WBbt_0004186>	"WB:rynl"
<http://purl.obolibrary.org/obo/WBbt_0004216>	"WB:rynl"
<http://purl.obolibrary.org/obo/WBbt_0008609>	"GO:0030496"
<http://purl.obolibrary.org/obo/WBbt_0005189>	"WB:rynl"
<http://purl.obolibrary.org/obo/WBbt_0005309>	"WB:rynl"
<http://purl.obolibrary.org/obo/WBbt_0004184>	"WB:rynl"
<http://purl.obolibrary.org/obo/WBbt_0005775>	"WBPaper:00038216"
<http://purl.obolibrary.org/obo/WBbt_0005756>	"WBPaper:00038216"
<http://purl.obolibrary.org/obo/WBbt_0008595>	"CARO:0000028"
